Player,Team,Year,Round_Number,Round_Pick,Overall_Pick
Cade Cunningham,Detroit Pistons,2021,1,1,1
Jalen Green,Houston Rockets,2021,1,2,2
Evan Mobley,Cleveland Cavaliers,2021,1,3,3
Scottie Barnes,Toronto Raptors,2021,1,4,4
Jalen Suggs,Orlando Magic,2021,1,5,5
Josh Giddey,Oklahoma City Thunder,2021,1,6,6
Jonathan Kuminga,Golden State Warriors,2021,1,7,7
Franz Wagner,Orlando Magic,2021,1,8,8
Davion Mitchell,Sacramento Kings,2021,1,9,9
Ziaire Williams,New Orleans Pelicans,2021,1,10,10
James Bouknight,Charlotte Hornets,2021,1,11,11
Joshua Primo,San Antonio Spurs,2021,1,12,12
Chris Duarte,Indiana Pacers,2021,1,13,13
Moses Moody,Golden State Warriors,2021,1,14,14
Corey Kispert,Washington Wizards,2021,1,15,15
Alperen Sengun,Oklahoma City Thunder,2021,1,16,16
Trey Murphy III,Memphis Grizzlies,2021,1,17,17
Tre Mann,Oklahoma City Thunder,2021,1,18,18
Kai Jones,New York Knicks,2021,1,19,19
Jalen Johnson,Atlanta Hawks,2021,1,20,20
Keon Johnson,New York Knicks,2021,1,21,21
Isaiah Jackson,Los Angeles Lakers,2021,1,22,22
Usman Garuba,Houston Rockets,2021,1,23,23
Josh Christopher,Houston Rockets,2021,1,24,24
Quentin Grimes,Los Angeles Clippers,2021,1,25,25
Bones Hyland,Denver Nuggets,2021,1,26,26
Cam Thomas,Brooklyn Nets,2021,1,27,27
Jaden Springer,Philadelphia 76ers,2021,1,28,28
Day'Ron Sharpe,Phoenix Suns,2021,1,29,29
Santi Aldama,Utah Jazz,2021,1,30,30
Isaiah Todd,Milwaukee Bucks,2021,2,1,31
Jeremiah Robinson-Earl,New York Knicks,2021,2,2,32
Jason Preston,Orlando Magic,2021,2,3,33
Rokas Jokubaitis,Oklahoma City Thunder,2021,2,4,34
Herbert Jones,New Orleans Pelicans,2021,2,5,35
Miles McBride,Oklahoma City Thunder,2021,2,6,36
JT Thor,Detroit Pistons,2021,2,7,37
Ayo Dosunmu,Chicago Bulls,2021,2,8,38
Neemias Queta,Sacramento Kings,2021,2,9,39
Jared Butler,Sacramento Kings,2021,2,10,40
Joe Wieskamp,San Antonio Spurs,2021,2,11,41
Isaiah Livers,Detroit Pistons,2021,2,12,42
Greg Brown III,New Orleans Pelicans,2021,2,13,43
Kessler Edwards,Brooklyn Nets,2021,2,14,44
Juhann Begarin,Boston Celtics,2021,2,15,45
Dalano Banton,Toronto Raptors,2021,2,16,46
David Johnson,Toronto Raptors,2021,2,17,47
Sharife Cooper,Atlanta Hawks,2021,2,18,48
Marcus Zegarowski,Brooklyn Nets,2021,2,19,49
Filip Petrusev,Philadelphia 76ers,2021,2,20,50
Brandon Boston Jr.,Memphis Grizzlies,2021,2,21,51
Luka Garza,Detroit Pistons,2021,2,22,52
Charles Bassey,Philadelphia 76ers,2021,2,23,53
Sandro Mamukelashvili,Indiana Pacers,2021,2,24,54
Aaron Wiggins,Oklahoma City Thunder,2021,2,25,55
Scottie Lewis,Charlotte Hornets,2021,2,26,56
Balsa Koprivica,Charlotte Hornets,2021,2,27,57
Jericho Sims,New York Knicks,2021,2,28,58
RaiQuan Gray,Brooklyn Nets,2021,2,29,59
Georgios Kalaitzakis,Indiana Pacers,2021,2,30,60
Anthony Edwards,Minnesota Timberwolves,2020,1,1,1
James Wiseman,Golden State Warriors,2020,1,2,2
LaMelo Ball,Charlotte Hornets,2020,1,3,3
Patrick Williams,Chicago Bulls,2020,1,4,4
Isaac Okoro,Cleveland Cavaliers,2020,1,5,5
Onyeka Okongwu,Atlanta Hawks,2020,1,6,6
Killian Hayes,Detroit Pistons,2020,1,7,7
Obi Toppin,New York Knicks,2020,1,8,8
Deni Avdija,Washington Wizards,2020,1,9,9
Jalen Smith,Phoenix Suns,2020,1,10,10
Devin Vassell,San Antonio Spurs,2020,1,11,11
Tyrese Haliburton,Sacramento Kings,2020,1,12,12
Kira Lewis Jr.,New Orleans Pelicans,2020,1,13,13
Aaron Nesmith,Boston Celtics,2020,1,14,14
Cole Anthony,Orlando Magic,2020,1,15,15
Isaiah Stewart,Portland Trail Blazers,2020,1,16,16
Aleksej Pokusevski,Minnesota Timberwolves,2020,1,17,17
Josh Green,Dallas Mavericks,2020,1,18,18
Saddiq Bey,Brooklyn Nets,2020,1,19,19
Precious Achiuwa,Miami Heat,2020,1,20,20
Tyrese Maxey,Philadelphia 76ers,2020,1,21,21
Zeke Nnaji,Denver Nuggets,2020,1,22,22
Leandro Bolmaro,New York Knicks,2020,1,23,23
R.J. Hampton,Milwaukee Bucks,2020,1,24,24
Immanuel Quickley,Oklahoma City Thunder,2020,1,25,25
Payton Pritchard,Boston Celtics,2020,1,26,26
Udoka Azubuike,Utah Jazz,2020,1,27,27
Jaden McDaniels,Los Angeles Lakers,2020,1,28,28
Malachi Flynn,Toronto Raptors,2020,1,29,29
Desmond Bane,Boston Celtics,2020,1,30,30
Tyrell Terry,Dallas Mavericks,2020,2,1,31
Vernon Carey Jr.,Charlotte Hornets,2020,2,2,32
Daniel Oturu,Minnesota Timberwolves,2020,2,3,33
Theo Maledon,Philadelphia 76ers,2020,2,4,34
Xavier Tillman Sr.,Sacramento Kings,2020,2,5,35
Tyler Bey,Philadelphia 76ers,2020,2,6,36
Vit Krejci,Washington Wizards,2020,2,7,37
Saben Lee,Utah Jazz,2020,2,8,38
Elijah Hughes,New Orleans Pelicans,2020,2,9,39
Robert Woodard II,Memphis Grizzlies,2020,2,10,40
Tre Jones,San Antonio Spurs,2020,2,11,41
Nick Richards,New Orleans Pelicans,2020,2,12,42
Jahmi'us Ramsey,Sacramento Kings,2020,2,13,43
Marko Simonovic,Chicago Bulls,2020,2,14,44
Jordan Nwora,Milwaukee Bucks,2020,2,15,45
CJ Elleby,Portland Trail Blazers,2020,2,16,46
Yam Madar,Boston Celtics,2020,2,17,47
Nico Mannion,Golden State Warriors,2020,2,18,48
Isaiah Joe,Philadelphia 76ers,2020,2,19,49
Skylar Mays,Atlanta Hawks,2020,2,20,50
Justinian Jessup,Golden State Warriors,2020,2,21,51
Kenyon Martin Jr.,Sacramento Kings,2020,2,22,52
Cassius Winston,Oklahoma City Thunder,2020,2,23,53
Cassius Stanley,Indiana Pacers,2020,2,24,54
Jay Scrubb,Brooklyn Nets,2020,2,25,55
Grant Riller,Charlotte Hornets,2020,2,26,56
Reggie Perry,Los Angeles Clippers,2020,2,27,57
Paul Reed,Philadelphia 76ers,2020,2,28,58
Jalen Harris,Toronto Raptors,2020,2,29,59
Sam Merrill,New Orleans Pelicans,2020,2,30,60
Zion Williamson,New Orleans Pelicans,2019,1,1,1
Ja Morant,Memphis Grizzlies,2019,1,2,2
RJ Barrett,New York Knicks,2019,1,3,3
De'Andre Hunter,Los Angeles Lakers,2019,1,4,4
Darius Garland,Cleveland Cavaliers,2019,1,5,5
Jarrett Culver,Phoenix Suns,2019,1,6,6
Coby White,Chicago Bulls,2019,1,7,7
Jaxson Hayes,Atlanta Hawks,2019,1,8,8
Rui Hachimura,Washington Wizards,2019,1,9,9
Cam Reddish,Atlanta Hawks,2019,1,10,10
Cameron Johnson,Minnesota Timberwolves,2019,1,11,11
P.J. Washington,Charlotte Hornets,2019,1,12,12
Tyler Herro,Miami Heat,2019,1,13,13
Romeo Langford,Boston Celtics,2019,1,14,14
Sekou Doumbouya,Detroit Pistons,2019,1,15,15
Chuma Okeke,Orlando Magic,2019,1,16,16
Nickeil Alexander-Walker,Brooklyn Nets,2019,1,17,17
Goga Bitadze,Indiana Pacers,2019,1,18,18
Luka Samanic,San Antonio Spurs,2019,1,19,19
Matisse Thybulle,Boston Celtics,2019,1,20,20
Brandon Clarke,Oklahoma City Thunder,2019,1,21,21
Grant Williams,Boston Celtics,2019,1,22,22
Darius Bazley,Utah Jazz,2019,1,23,23
Ty Jerome,Philadelphia 76ers,2019,1,24,24
Nassir Little,Portland Trail Blazers,2019,1,25,25
Dylan Windler,Cleveland Cavaliers,2019,1,26,26
Mfiondu Kabengele,Brooklyn Nets,2019,1,27,27
Jordan Poole,Golden State Warriors,2019,1,28,28
Keldon Johnson,San Antonio Spurs,2019,1,29,29
