id,Player,pid,team_id,Year,Round_Number,Round_Pick,Overall_Pick
1,Cade Cunningham,72372,1,2021,1,1,1
2,Jalen Green,0,2,2021,1,2,2
3,Evan Mobley,72870,3,2021,1,3,3
4,Scottie Barnes,72657,4,2021,1,4,4
5,Jalen Suggs,72863,5,2021,1,5,5
6,Josh Giddey,0,6,2021,1,6,6
7,Jonathan Kuminga,0,7,2021,1,7,7
8,Franz Wagner,70394,5,2021,1,8,8
9,Davion Mitchell,51367,8,2021,1,9,9
10,Ziaire Williams,72856,9,2021,1,10,10
11,James Bouknight,70319,10,2021,1,11,11
12,Joshua Primo,72716,11,2021,1,12,12
13,Chris Duarte,70910,12,2021,1,13,13
14,Moses Moody,72944,7,2021,1,14,14
15,Corey Kispert,51050,13,2021,1,15,15
16,Alperen Sengun,0,6,2021,1,16,16
17,Trey Murphy III,65675,14,2021,1,17,17
18,Tre Mann,70993,6,2021,1,18,18
19,Kai Jones,71905,15,2021,1,19,19
20,Jalen Johnson,45313,16,2021,1,20,20
21,Keon Johnson,29339,15,2021,1,21,21
22,Isaiah Jackson,35389,17,2021,1,22,22
23,Usman Garuba,0,2,2021,1,23,23
24,Josh Christopher,72758,2,2021,1,24,24
25,Quentin Grimes,65580,18,2021,1,25,25
26,Bones Hyland,0,19,2021,1,26,26
27,Cam Thomas,0,20,2021,1,27,27
28,Jaden Springer,73275,21,2021,1,28,28
29,Day'Ron Sharpe,73518,22,2021,1,29,29
30,Santi Aldama,71076,23,2021,1,30,30
31,Isaiah Todd,0,24,2021,2,1,31
32,Jeremiah Robinson-Earl,71861,15,2021,2,2,32
33,Jason Preston,65701,5,2021,2,3,33
34,Rokas Jokubaitis,0,6,2021,2,4,34
35,Herbert Jones,51990,9,2021,2,5,35
36,Miles McBride,71636,6,2021,2,6,36
37,JT Thor,73213,1,2021,2,7,37
38,Ayo Dosunmu,66420,25,2021,2,8,38
39,Neemias Queta,67637,8,2021,2,9,39
40,Jared Butler,66113,8,2021,2,10,40
41,Joe Wieskamp,66492,11,2021,2,11,41
42,Isaiah Livers,50343,1,2021,2,12,42
43,Greg Brown III,73630,9,2021,2,13,43
44,Kessler Edwards,66410,20,2021,2,14,44
45,Juhann Begarin,0,26,2021,2,15,45
46,Dalano Banton,65803,4,2021,2,16,46
47,David Johnson,70419,4,2021,2,17,47
48,Sharife Cooper,72782,16,2021,2,18,48
49,Marcus Zegarowski,65501,20,2021,2,19,49
50,Filip Petrusev,66035,21,2021,2,20,50
51,Brandon Boston Jr.,73723,14,2021,2,21,51
52,Luka Garza,51595,1,2021,2,22,52
53,Charles Bassey,65800,21,2021,2,23,53
54,Sandro Mamukelashvili,50557,12,2021,2,24,54
55,Aaron Wiggins,66483,6,2021,2,25,55
56,Scottie Lewis,70994,10,2021,2,26,56
57,Balsa Koprivica,72082,10,2021,2,27,57
58,Jericho Sims,51301,15,2021,2,28,58
59,RaiQuan Gray,65720,20,2021,2,29,59
60,Georgios Kalaitzakis,0,12,2021,2,30,60
61,Anthony Edwards,71877,27,2020,1,1,1
62,James Wiseman,70562,7,2020,1,2,2
63,LaMelo Ball,0,10,2020,1,3,3
64,Patrick Williams,72084,25,2020,1,4,4
65,Isaac Okoro,70647,3,2020,1,5,5
66,Onyeka Okongwu,71269,16,2020,1,6,6
67,Killian Hayes,0,1,2020,1,7,7
68,Obi Toppin,65484,15,2020,1,8,8
69,Deni Avdija,0,13,2020,1,9,9
70,Jalen Smith,65495,22,2020,1,10,10
71,Devin Vassell,66203,11,2020,1,11,11
72,Tyrese Haliburton,65663,8,2020,1,12,12
73,Kira Lewis Jr.,66608,9,2020,1,13,13
74,Aaron Nesmith,66174,26,2020,1,14,14
75,Cole Anthony,70338,5,2020,1,15,15
76,Isaiah Stewart,71545,28,2020,1,16,16
77,Aleksej Pokusevski,0,27,2020,1,17,17
78,Josh Green,71436,29,2020,1,18,18
79,Saddiq Bey,65889,20,2020,1,19,19
80,Precious Achiuwa,70558,30,2020,1,20,20
81,Tyrese Maxey,71900,21,2020,1,21,21
82,Zeke Nnaji,70422,19,2020,1,22,22
83,Leandro Bolmaro,0,15,2020,1,23,23
84,R.J. Hampton,0,24,2020,1,24,24
85,Immanuel Quickley,65578,6,2020,1,25,25
86,Payton Pritchard,47506,26,2020,1,26,26
87,Udoka Azubuike,45190,23,2020,1,27,27
88,Jaden McDaniels,71487,17,2020,1,28,28
89,Malachi Flynn,44865,4,2020,1,29,29
90,Desmond Bane,46595,26,2020,1,30,30
91,Tyrell Terry,70571,29,2020,2,1,31
92,Vernon Carey Jr.,71628,10,2020,2,2,32
93,Daniel Oturu,66110,27,2020,2,3,33
94,Theo Maledon,0,21,2020,2,4,34
95,Xavier Tillman Sr.,0,8,2020,2,5,35
96,Tyler Bey,52083,21,2020,2,6,36
97,Vit Krejci,0,13,2020,2,7,37
98,Saben Lee,50484,23,2020,2,8,38
99,Elijah Hughes,47357,9,2020,2,9,39
100,Robert Woodard II,0,14,2020,2,10,40
101,Tre Jones,65855,11,2020,2,11,41
102,Nick Richards,51728,9,2020,2,12,42
103,Jahmi'us Ramsey,71183,8,2020,2,13,43
104,Marko Simonovic,0,25,2020,2,14,44
105,Jordan Nwora,50605,24,2020,2,15,45
106,CJ Elleby,65531,28,2020,2,16,46
107,Yam Madar,0,26,2020,2,17,47
108,Nico Mannion,71327,7,2020,2,18,48
109,Isaiah Joe,66609,21,2020,2,19,49
110,Skylar Mays,48923,16,2020,2,20,50
111,Justinian Jessup,48123,7,2020,2,21,51
112,Kenyon Martin Jr.,0,8,2020,2,22,52
113,Cassius Winston,44722,6,2020,2,23,53
114,Cassius Stanley,71030,12,2020,2,24,54
115,Jay Scrubb,0,20,2020,2,25,55
116,Grant Riller,40407,10,2020,2,26,56
117,Reggie Perry,65915,18,2020,2,27,57
118,Paul Reed,50818,21,2020,2,28,58
119,Jalen Harris,21640,4,2020,2,29,59
120,Sam Merrill,47902,9,2020,2,30,60
121,Zion Williamson,65847,9,2019,1,1,1
122,Ja Morant,0,14,2019,1,2,2
123,RJ Barrett,0,15,2019,1,3,3
124,De'Andre Hunter,45188,17,2019,1,4,4
125,Darius Garland,65919,3,2019,1,5,5
126,Jarrett Culver,51280,22,2019,1,6,6
127,Coby White,65631,25,2019,1,7,7
128,Jaxson Hayes,66595,16,2019,1,8,8
129,Rui Hachimura,48365,13,2019,1,9,9
130,Cam Reddish,65846,16,2019,1,10,10
131,Cameron Johnson,1768,27,2019,1,11,11
132,P.J. Washington,0,10,2019,1,12,12
133,Tyler Herro,66474,30,2019,1,13,13
134,Romeo Langford,65891,26,2019,1,14,14
135,Sekou Doumbouya,0,1,2019,1,15,15
136,Chuma Okeke,51602,5,2019,1,16,16
137,Nickeil Alexander-Walker,50477,20,2019,1,17,17
138,Goga Bitadze,0,12,2019,1,18,18
139,Luka Samanic,0,11,2019,1,19,19
140,Matisse Thybulle,43029,26,2019,1,20,20
141,Brandon Clarke,43790,6,2019,1,21,21
142,Grant Williams,49187,26,2019,1,22,22
143,Darius Bazley,0,23,2019,1,23,23
144,Ty Jerome,45185,21,2019,1,24,24
145,Nassir Little,65458,28,2019,1,25,25
146,Dylan Windler,40475,3,2019,1,26,26
147,Mfiondu Kabengele,48424,20,2019,1,27,27
148,Jordan Poole,50346,7,2019,1,28,28
149,Keldon Johnson,66092,11,2019,1,29,29
150,Kevin Porter Jr.,66706,24,2019,1,30,30
151,Nic Claxton,0,20,2019,2,1,31
152,KZ Okpala,0,22,2019,2,2,32
153,Carsen Edwards,47325,21,2019,2,3,33
154,Bruno Fernando,51951,21,2019,2,4,34
155,Didi Louzada,0,16,2019,2,5,35
156,Cody Martin,46681,10,2019,2,6,36
